ExpID,Name,,,,,,,,,
601,CRC 3.2 Northern Region - Better Crop Scheduling and Yield Forecasting,,,,,,,,,
602,CRC 3.2 Northern Region - Better Crop Scheduling and Yield Forecasting,,,,,,,,,
607,CRC 3.2 Northern Region - Better Crop Scheduling and Yield Forecasting,,,,,,,,,
608,CRC 3.2 Northern Region - Better Crop Scheduling and Yield Forecasting,,,,,,,,,
613,CRC 3.2 Northern Region - Better Crop Scheduling and Yield Forecasting,,,,,,,,,
619,CRC 3.2 Northern Region - Better Crop Scheduling and Yield Forecasting,,,,,,,,,
620,CRC 3.2 Northern Region - Better Crop Scheduling and Yield Forecasting,,,,,,,,,
625,CRC 3.2 Northern Region - Better Crop Scheduling and Yield Forecasting,,,,,,,,,
626,CRC 3.2 Northern Region - Better Crop Scheduling and Yield Forecasting,,,,,,,,,
701,CRC 3.2 Herbert Region - Better Crop Scheduling and Yield Forecasting,,,,,,,,,
702,CRC 3.2 Herbert Region - Better Crop Scheduling and Yield Forecasting,,,,,,,,,
706,CRC 3.2 Herbert Region - Better Crop Scheduling and Yield Forecasting,,,,,,,,,
707,CRC 3.2 Herbert Region - Better Crop Scheduling and Yield Forecasting,,,,,,,,,
711,CRC 3.2 Crop Scheduling and Yield Forecasting - Herbert,,,,,,,,,
716,CRC 3.1 Crop Response to Timing & Amount of Irrigation - CSC18S Pace,,,,,,,,,
717,CRC 3.1 Crop Response to Timing & Amount of Irrigation - CSC18S Pace,,,,,,,,,
730,Water Allocation Scheduling,,,,,,,,,
731,Water Allocation Scheduling,,,,,,,,,
750,"CRC 3.2 Better Crop Scheduling & Yield Forecasting - Kalamia, Ayr",,,,,,,,,
751,"CRC 3.2 Better Crop Scheduling & Yield Forecasting - Kalamia, Ayr",,,,,,,,,
754,CRC 3.2 Better Crop Scheduling & Yield Forecasting - Kalamia Burdekin,,,,,,,,,
755,CRC 3.2 Better Crop Scheduling & Yield Forecasting - Kalamia Burdekin,,,,,,,,,
758,Water Balance Study,,,,,,,,,
760,(1R) - Irrigation Scheduling (Block 56),,,,,,,,,
761,(2R) Irrigation Scheduling (Block 56),,,,,,,,,
765,(Plant) Bowen Ration Evap. Study (Block 48),,,,,,,,,
766,(1R) Bowen Ration Evap. Study (Block 48),,,,,,,,,
790,CRC 3.1 Crop Response to Timing and Amount of Irrigation - Burdekin,,,,,,,,,
791,(Block 97) (Late) 2 varieties * 2 water rates - Late season water stress(Plant),,,,,,,,,
807,CRC 3.1 Crop & Yield Response To Timing & Amount Of Irrigation.,,,,,,,,,
808,CRC 3.1 Crop & Yield Response To Timing & Amount Of Irrigation,,,,,,,,,
812,CRC 3.2.2 Better Crop Scheduling and Yield forecasting,,,,,,,,,
813,CRC 3.2.2 Better Crop Scheduling and Yield forecasting,,,,,,,,,
825,CRC 3.2 Crop Response to Alternative Harvest Dates - (Apr + Aug),,,,,,,,,
826,CRC 3.2 Crop Response to Alternative Harvest Dates - (May + Aug),,,,,,,,,
827,CRC 3.2 Crop Response to Alternative Harvest Dates - (May + Aug),,,,,,,,,
835,CRC 3.2 Crop Response to Alternative Harvest Dates in Sunnyside,,,,,,,,,
836,CRC 3.2 Crop Response to Alternative Harvest Dates in Sunnyside,,,,,,,,,
837,CRC 3.2 Crop Response to Alternative Harvest Dates in Sunnyside,,,,,,,,,
845,CRC 3.2 Crop Response to Alternative Harvest Dates in Dumbleton,,,,,,,,,
846,CRC 3.2 Crop Response to Alternative Harvest Dates in Dumbleton,,,,,,,,,
847,CRC 3.2 Crop Response to Alternative Harvest Dates in Dumbleton,,,,,,,,,
850,CRC 3.1 Optimising the use of limited water,,,,,,,,,
855,CRC 3.1 Optimising the use of limited water,,,,,,,,,
870,CRC 3.2 Crop Response to Alternative Harvest Dates in Walkerston,,,,,,,,,
871,CRC 3.2 Crop Response to Alternative Harvest Dates in Walkerston,,,,,,,,,
872,CRC 3.2 Crop Response to Alternative Harvest Dates in Walkerston,,,,,,,,,
875,CRC 3.2 Crop Response to Alternative Harvest Dates in Finch Hatton,,,,,,,,,
876,CRC 3.2 Crop Response to Alternative Harvest Dates in Finch Hatton,,,,,,,,,
877,CRC 3.2 Crop Response to Alternative Harvest Dates in Finch Hatton,,,,,,,,,
885,CRC 3.2 Crop Response to Alternative Harvest Dates in Gargett,,,,,,,,,
886,CRC 3.2 Crop Response to Alternative Harvest Dates in Gargett,,,,,,,,,
887,CRC 3.2 Crop Response to Alternative Harvest Dates in Gargett,,,,,,,,,
901,CRC 3.1 Variety Performance and water use under drip irrigation,,,,,,,,,
902,CRC 3.1 Variety Performance and water use under drip irrigation,,,,,,,,,
903,(2R) - 6 Irrigation x 2 Varieties - CRC 3.1 Variety Performance and water use under drip irrigation -,,,,,,,,,
905,CRC 3.1 Nitrogen Efficiency of Plant Crop Under Drip Irrigation,,,,,,,,,
906,CRC 3.1.2 Nitrogen Efficiency of 1st Ratoon Crop Under Drip Irrigation,,,,,,,,,
907,(2R) - 6 N Rates Under Drip Irrigation,,,,,,,,,
908,(3R) - 6 N Rates Under Drip Irrigation,,,,,,,,,
930,(3R) Water Allocation Scheduling,,,,,,,,,
931,(3R) Water allocation Scheduling,,,,,,,,,
932,(4R) Water Allocation Scheduling,,,,,,,,,
933,(4R) Water Allocation Scheduling,,,,,,,,,
