ExpID,,Method,Notes,PlantingDate,Cultivar,PlantingDepth,RowSpan,Population
717,,Ratooned,Harvest split due rain ie 7/9/97 and 10/0/97,10/10/1997,Q124,,2,
717,,Ratooned,Plots harvested under wet condition ratooning slow,9/7/1997,Q124,,2,
807,,Whole stalk planter,,7/16/1996,Q135,150,2,
807,,Whole stalk planter,,7/17/1996,Q135,150,2,
807,,Whole stalk planter,,7/18/1996,Q135,150,2,
812,,Whole stalk planter,,5/15/1996,Cultivar Exp Factor,80,2,
813,,Unknown,,5/13/1996,Cultivar Exp Factor,80,,
825,,Ratooned,,7/7/1997,Q124,,,
826,,Ratooned,,4/7/1998,Q124,,,
827,,Ratooned,,5/4/1999,Q124,,,
835,,Ratooned,,8/3/1997,Q124,,,
836,,Ratooned,,4/7/1998,Q124,,,
837,,Ratooned,,5/4/1999,Q124,,,
845,,Ratooned,1st Ratoon,9/9/1997,Q124,80,150,
846,,Ratooned,,4/14/1998,Q124,,,
847,,Ratooned,,5/4/1999,Q124,,,
870,,Ratooned,,9/6/1997,Q124,,,
871,,Ratooned,,6/13/1998,Q124,,,
872,,Ratooned,,4/19/1999,Q124,,,
875,,Ratooned,,1/1/1997,Q124,,,
875,,Whole stalk planter,Planted blk 35-1  Q124 using a whole stick planter,8/15/1997,Q124,80,1,
876,,Ratooned,,1/1/1998,Q124,,,
877,,Ratooned,,1/1/1999,Q124,,,
885,,Ratooned,,8/3/1997,,,,
886,,Ratooned,,7/28/1998,,,,
887,,Ratooned,,5/17/1999,,,,
901,,Unknown,,,Cultivar Exp Factor,80,,
901,,Billet Planter,,4/7/1997,Cultivar Exp Factor,50,2,8
901,,Billet Planter,,4/8/1997,Cultivar Exp Factor,50,2,8
902,,Ratooned,,10/3/1998,Cultivar Exp Factor,,2,
903,,Ratooned,,9/6/1999,,80,,
905,,Billet Planter,,9/12/1996,Q124,50,2,8
906,,Ratooned,,9/5/1997,Q124,,,
907,,Unknown,,,,80,,
907,,Ratooned,,9/25/1998,,,2,
908,,Ratooned,,9/3/1999,,80,,
